nitEmpresa,sigla,tipo,activos,tipo_entidad
890300625,COOMEVA,Cooperativas y otras,5205630000000.00,4
860006773,CAVIPETROL,Fondos de empleados,1838870000000.00,1
890904478,COLANTA,Cooperativas y otras,1666310000000.00,3
804009752,FINANCIERA COMULTRASAN LTDA,Especializada,1641310000000.00,2
860026123,COPIDROGAS,Cooperativas y otras,1204050000000.00,3
860025596,CODEMA,Especializada,1182730000000.00,2
860007327,FINCOMERCIO LTDA,Especializada,858902000000.00,1
890505363,CREDISERVIR,Especializada,734555000000.00,2
860029924,UCC,Cooperativas y otras,673840000000.00,1
890203225,COOMULDESA LTDA,Especializada,636707000000.00,1
860005921,CANAPRO,Cooperativas y otras,602461000000.00,3
890905085,COOPETRABAN,Especializada,569935000000.00,1
891100673,UTRAHUILCA,Especializada,518674000000.00,4
890310418,PROMEDICO,Fondos de empleados,503938000000.00,4
891900492,COPROCENVA,Especializada,486262000000.00,2
800183987,PRESENTE,Fondos de empleados,481634000000.00,1
860014397,COOPTRAISS,Especializada,438775000000.00,3
800025304,FEPEP,Fondos de empleados,428847000000.00,3
830011670,COPSERVIR LTDA,Cooperativas y otras,421455000000.00,4
890201280,COOPROFESORES,Especializada,419260000000.00,4
890909246,COBELEN,Especializada,383206000000.00,2
800249241,EMCOOPAV,Cooperativas y otras,341157000000.00,2
860014040,COASMEDAS,Especializada,338715000000.00,4
860402925,COOTRADECUN,Cooperativas y otras,333789000000.00,4
860075780,JURISCOOP,Cooperativas y otras,330649000000.00,3
890981912,COOGRANADA,Especializada,319719000000.00,1
900175962,AYC COLANTA,Especializada,317471000000.00,4
860013743,COOPETROL,Especializada,303501000000.00,3
890904843,COOPANTEX,Especializada,292358000000.00,2
891100656,COONFIE,Especializada,271003000000.00,2
890401658,COOACEDED LTDA,Cooperativas y otras,267424000000.00,2
900163087,COPICREDITO,Especializada,259765000000.00,4
891801371,COEDUCADORES BOYACA,Especializada,248892000000.00,1
830033907,PROGRESSA,Especializada,245262000000.00,1
860056869,CREDIFLORES,Especializada,240020000000.00,1
890905574,COMEDAL,Especializada,232420000000.00,4
890985032,COOPRUDEA,Especializada,227710000000.00,4
860048092,FONDAVIVIENDA,Fondos de empleados,226416000000.00,3
805004034,COOPSERP COLOMBIA,Cooperativas y otras,225055000000.00,1
890981459,CREARCOOP,Especializada,219570000000.00,3
890985122,COHAN,Cooperativas y otras,217651000000.00,3
891100079,COOFISAM,Especializada,211709000000.00,1
860035559,FEISA,Fondos de empleados,210789000000.00,1
890700817,COOPEMTOL,Especializada,203404000000.00,1
900189084,MICROEMPRESAS DE COLOMBIA A.C.,Especializada,196469000000.00,2
860033227,COEMPOPULAR,Cooperativas y otras,179742000000.00,3
800201989,COOCREAFAM,Especializada,179060000000.00,1
891800652,CANAPRO O.C,Especializada,176839000000.00,2
860032342,COOPTENJO,Especializada,172960000000.00,3
860007647,FEBOR,Especializada,172595000000.00,2
890201063,COOMULTRASAN,Cooperativas y otras,167449000000.00,4
800069925,COFINCAFE,Especializada,164255000000.00,1
860518350,BENEFICIAR,Especializada,156068000000.00,4
890910087,COOPRIACHON,Especializada,149682000000.00,1
860011265,FOE,Fondos de empleados,148900000000.00,4
