nameSegmentacion,mayor,menor,tipo_entidad_id
Micro2,0,12602000 ,1
Micro1,12602000 ,37804000 ,1
Pequeñas,37804000 ,63008000 ,1
Medianas,63008000 ,126013000 ,1
Grande,126013000 ,252028000 ,1
Megas,252028000 ,592267000 ,1
Top,592267000 ,,1
Micro2,0,12602000 ,2
Micro1,12602000 ,37804000 ,2
Pequeñas,37804000 ,63008000 ,2
Medianas,63008000 ,126013000 ,2
Grande,126013000 ,252028000 ,2
Megas,252028000 ,592267000 ,2
Top,592267000 ,,2
Micro2,0,6000000 ,3
Micro1,6000000 ,10000000 ,3
Pequeñas,10000000 ,50000000 ,3
Medianas,50000000 ,100000000 ,3
Grande,100000000 ,200000000 ,3
Megas,200000000 ,400000000 ,3
Top,400000000 ,,3
Micro2,0,100000 ,4
Micro1,100000 ,1000000 ,4
Pequeñas,1000000 ,6000000 ,4
Medianas,6000000 ,10000000 ,4
Grande,10000000 ,20000000 ,4
Megas,20000000 ,33000000 ,4
Top,33000000 ,,4
Micro2,0,6000000 ,5
Micro1,6000000 ,10000000 ,5
Pequeñas,10000000 ,50000000 ,5
Medianas,50000000 ,100000000 ,5
Grande,100000000 ,300000000 ,5
Megas,300000000 ,1000000000 ,5
Top,1000000000 ,,5
