nameEmpresa;nitEmpresa;emailEmpresa;activos;tipoEntidad
ASOCIACION MUTUAL CIRCULO DE TRABAJADORES DE LA DIVINA PROVIDENCIA;860023808;amctbp@gmail.com;253005974;Mutuales
ASOCIACION MUTUALISTA SAGRADA FAMILIA;860029753;gerencia@asmusafa.com;6871039911;Mutuales
ASOCIACION MUTUO AUXILIO BUENOS AIRES;860010026;amabuenosaires@gmail.com;150244002;Mutuales
ASOCIACION MUTUAL SE¥OR DEL DESPOJO;860035281;asomutdespojo@gmail.com;11872;Mutuales
FONDO DE EMPLEADOS ECOMISOL;830030550;fonfoecomisol@gmail.com;42566198;Fondos de empleados
FONDO DE EMPLEADOS DE COLOMBIANA DE TELEVISION;800092476;admin.fondo@coltevision.com;10817452;Fondos de empleados
COOPERATIVA MULTIACTIVA DE DETALLISTAS DE COLOMBIA;860051170;gerencia@cooratiendas.com;30469446244;Cooperativa sin ahorro
COOPERATIVA DE AHORRO, CREDITO Y SERVICIOS ESPECIALES COOPINCODEMAR;860025934;coopincodemar@gmail.com;648236479;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE EXTRABAJADORES DE ARTECTO LTDA;800178637;coomexarltda@hotmail.com;1025218244;Cooperativa sin ahorro
COOPERATIVA UNIDAD RESIDENCIAL TUNDAMA;860400814;cooptundama@hotmail.com;80388519;Cooperativa sin ahorro
COOPERATIVA DE TRABAJADORES DE AVIANCA;860013683;contabilidad@coopava.com.co;13934662100;Cooperativa sin ahorro
COOPERATIVA ESPECIALIZADA DE EDUCACION UNION SOCIAL LTDA.;860032807;gdoe1308@hotmail.com;46165998;Cooperativa sin ahorro
COOPERATIVA FILARMONICA;800078560;coopfilarmonica@gmail.com;480113288;Cooperativa sin ahorro
ENTIDAD COOPERATIVA SOLIDARIA DE SALUD;832000760;ecoopsosesscoop@gmail.com;7640502658;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO DE REVISORES FISCALES COOPERATIV. Y AUDITORES;830030473;cooprecor@gmail.com;30365106;Cooperativa y otros
OUTSOURCING ASOCIADOS SOCIEDAD COOPERATIVA;830043281;contactenos@oacolombia.com;21631988;Cooperativa y otros
COOPERTAIVA MEDICA CARDIOLOGICA DE TRABAJO ASOCIADO COOPEMED;830009190;acevedoyzapata@yahoo.es;192106747;Cooperativa y otros
ASOCCIACION MUTUAL EL PORVENIR;800014441;asocmutualelporvenir@une.net.co;235192431;Mutuales
ASOCCIACION MUTUAL JARDINES DEL RECUERDO;800240569;asojardines@hotmail.com;95703854;Mutuales
ASOCIACION MUTUAL EL PEDREGAL;890984663;amelpedregal@hotmai.com;415320992;Mutuales
COOPERATIVA DE COMERCIALIZADORES DEL AGRO LTDA.;800190099;comeragrocontabilidad@gmail.com;2513218224;Cooperativa sin ahorro
FONDO DE EMPLEADOS ELECTROPORCELANA GAMMA S.A.;811007884;laalvarez@corona.com.co;1;Fondos de empleados
COOPERATIVA DE HOSPITALES DEL VALLE DEL CAUCA LTDA.;890319661;cohosvalenliquidacion@gmail.com;2158727759;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO DEL NORTE LTDA;890329021;oscarcoopnorte@hotmail.com;61802445;Cooperativa y otros
ASOCIACION MUTUAL ORQUIDEA;891801131;leonel1956@yahoo.com;598835331;Mutuales
CARBOPAZ LTDA;826000094;carbopazges@gmail.com;998509593;Cooperativa sin ahorro
COOPERATIVA CARBONERA DE SAMACA;800150717;coopcarbon@hotmail.com;1494640827;Cooperativa sin ahorro
